name;zipcode;company_created_13;company_13;start_up_13
01106;Cize;;3;2
01107;Cleyzieu;3;2;0
01108;Coligny;6;62;13
01109;Collonges;15;68;23
01110;Colomieu;1;10;5
01111;Conand;1;3;0
01112;Condamine;3;18;4
01113;Condeissiat;3;30;15
01114;Confort;3;16;7
01115;Confrançon;12;50;11
01116;Contrevoz;4;13;8
01117;Conzieu;1;5;1
01118;Corbonod;3;49;19
01119;Corcelles;1;6;2
01121;Corlier;;5;2
01122;Cormaranche-en-Bugey;5;25;11
01123;Cormoranche-sur-Saône;5;39;15
01124;Cormoz;7;22;5
01125;Corveissiat;4;20;4
01127;Courmangoux;4;21;4
01128;Courtes;3;12;2
01129;Crans;1;8;2
01130;Cras-sur-Reyssouze;7;41;18
01133;Cressin-Rochefort;2;8;2
01134;Crottet;11;88;30
01135;Crozet;14;79;14
01136;Cruzilles-lès-Mépillat;3;21;6
01138;Culoz;24;137;33
01139;Curciat-Dongalon;4;18;1
01140;Curtafond;4;21;7
01141;Cuzieu;3;10;7
01142;Dagneux;31;219;75
01143;Divonne-les-Bains;62;415;123
01144;Dommartin;4;21;6
01145;Dompierre-sur-Veyle;11;53;19
01146;Dompierre-sur-Chalaronne;4;19;6
01147;Domsure;4;17;5
01148;Dortan;8;92;23
01149;Douvres;6;20;10
01150;Drom;1;7;1
01151;Druillat;8;55;19
01152;Échallon;2;31;10
01153;Échenevex;12;44;15
01154;Étrez;6;22;9
01155;Évosges;1;9;5
01156;Faramans;3;20;7
01157;Fareins;26;149;47
01158;Farges;5;18;9
01159;Feillens;20;192;47
01160;Ferney-Voltaire;78;536;148
01162;Flaxieu;;4;0
01163;Foissiat;16;66;23
01165;Francheleins;7;45;15
01166;Frans;11;102;31
01167;Garnerans;4;31;11
01169;Genouilleux;4;20;6
01170;Béard-Géovreissiat;7;39;9
01171;Géovreisset;8;43;17
01172;Germagnat;2;9;2
01173;Gex;80;421;133
01174;Giron;1;10;3
01175;Gorrevod;3;26;5
01176;Le Grand-Abergement;;4;0
01177;Grand-Corent;;3;2
01179;Grièges;10;75;24
01180;Grilly;5;32;11
01181;Groissiat;5;78;18
01182;Groslée;;25;9
01183;Guéreins;14;106;36
01184;Hautecourt-Romanèche;9;32;12
01185;Hauteville-Lompnes;20;194;44
01186;Hostiaz;;3;0
01187;Hotonnes;6;38;11
01188;Illiat;1;31;10
01189;Injoux-Génissiat;7;22;4
01190;Innimond;;7;3
01191;Izenave;1;9;6
01192;Izernore;19;128;26
01193;Izieu;2;5;5
01194;Jassans-Riottier;38;290;91
01195;Jasseron;6;65;17
01196;Jayat;2;51;11
01197;Journans;2;20;8
01198;Joyeux;2;8;3
01199;Jujurieux;13;97;34
01200;Labalme;4;13;3
01202;Lagnieu;42;316;104
01203;Laiz;7;52;16
01204;Lalleyriat;;15;1
01205;Lancrans;5;36;14
01206;Lantenay;;4;2
01207;Lapeyrouse;3;18;9
01208;Lavours;1;5;2
01209;Léaz;5;10;3
01210;Lélex;3;52;9
01211;Lent;6;38;8
01212;Lescheroux;4;27;9
01213;Leyment;10;51;21
01214;Leyssard;1;3;2
01215;Lhôpital;;1;0
01216;Lhuis;5;51;10
01218;Lochieu;2;8;0
01219;Lompnas;1;9;4
01221;Lompnieu;;6;3
01224;Loyettes;28;134;44
01225;Lurcy;2;7;3
01227;Magnieu;3;14;6
01228;Maillat;3;48;9
01229;Malafretaz;9;44;17
01230;Mantenay-Montlin;2;9;3
01231;Manziat;7;81;15
01232;Marboz;9;107;34
01233;Marchamp;2;4;2
01234;Marignieu;1;6;1
01235;Marlieux;11;46;14
01236;Marsonnas;4;25;11
01237;Martignat;11;81;26
01238;Massieux;15;128;37
01239;Massignieu-de-Rives;12;31;10
01240;Matafelon-Granges;2;29;10
01241;Meillonnas;10;66;17
01242;Mérignat;;4;1
01243;Messimy-sur-Saône;13;78;26
01244;Meximieux;59;410;107
01245;Bohas-Meyriat-Rignat;4;39;14
01246;Mézériat;9;128;43
01247;Mijoux;5;40;8
01248;Mionnay;22;119;40
01249;Miribel;79;567;171
01250;Misérieux;8;72;24
01252;Mogneneins;2;33;7
01254;Montagnat;16;101;23
01255;Montagnieu;1;20;5
01257;Montanges;1;12;3
01258;Montceaux;6;39;10
01259;Montcet;5;14;7
01260;Le Montellier;;11;5
01261;Monthieux;11;31;9
01262;Montluel;60;331;118
01263;Montmerle-sur-Saône;29;185;61
01264;Montracol;4;37;13
01265;Montréal-la-Cluse;24;200;43
01266;Montrevel-en-Bresse;11;149;37
01267;Nurieux-Volognat;4;45;12
01268;Murs-et-Gélignieux;5;19;7
01269;Nantua;26;191;41
01271;Nattages;5;29;11
01272;Neuville-les-Dames;8;87;30
01273;Neuville-sur-Ain;11;64;14
01274;Les Neyrolles;4;20;7
01275;Neyron;26;217;58
01276;Niévroz;17;87;30
01277;Nivollet-Montgriffon;;3;1
01279;Oncieu;1;4;2
01280;Ordonnaz;2;12;4
01281;Ornex;33;128;49
01282;Outriaz;1;8;2
01283;Oyonnax;159;1220;301
01284;Ozan;5;30;7
01285;Parcieux;5;45;16
01286;Parves;2;9;3
01288;Péron;12;75;26
01289;Péronnas;42;339;92
01290;Pérouges;11;88;15
01291;Perrex;6;30;10
01292;Le Petit-Abergement;2;12;5
01293;Peyriat;3;7;3
01294;Peyrieu;5;34;11
01295;Peyzieux-sur-Saône;5;21;13
01296;Pirajoux;2;12;6
01297;Pizay;5;28;7
01298;Plagne;1;4;3
01299;Le Plantay;6;18;8
01300;Le Poizat;1;16;5
01301;Polliat;15;100;29
01302;Pollieu;2;12;6
01303;Poncin;18;89;28
01304;Pont-d'Ain;18;160;47
01305;Pont-de-Vaux;16;201;53
01306;Pont-de-Veyle;13;72;17
01307;Port;4;50;15
01308;Pougny;5;17;6
01309;Pouillat;;2;0
01310;Prémeyzel;1;7;4
01311;Prémillieu;;4;2
01312;Pressiat;1;8;0
01313;Prévessin-Moëns;24;172;74
01314;Priay;15;81;39
01316;Pugieu;1;11;4
01317;Ramasse;;5;2
01318;Rancé;5;31;11
01319;Relevant;1;26;6
01320;Replonges;18;153;37
01321;Revonnas;8;27;12
01322;Reyrieux;33;273;81
01323;Reyssouze;6;31;9
01325;Rignieux-le-Franc;9;32;13
01328;Romans;5;25;7
01329;Rossillon;1;7;2
01330;Ruffieu;2;18;4
01331;Saint-Alban;2;6;1
01332;Saint-André-de-Bâgé;2;26;9
01333;Saint-André-de-Corcy;21;211;54
01334;Saint-André-d'Huiriat;4;26;7
01335;Saint-André-le-Bouchoux;1;11;1
01336;Saint-André-sur-Vieux-Jonc;3;34;11
01337;Saint-Bénigne;11;45;17
01338;Saint-Benoît;13;44;13
01339;Saint-Bernard;9;65;21
01340;Saint-Bois;;5;1
01341;Saint-Champ;;3;2
01342;Sainte-Croix;1;23;7
01343;Saint-Cyr-sur-Menthon;15;78;19
01344;Saint-Denis-lès-Bourg;29;247;71
01345;Saint-Denis-en-Bugey;20;83;31
01346;Saint-Didier-d'Aussiat;7;25;4
01347;Saint-Didier-de-Formans;14;82;26
01348;Saint-Didier-sur-Chalaronne;19;164;42
01349;Saint-Éloi;7;19;7
01350;Saint-Étienne-du-Bois;15;91;22
01351;Saint-Étienne-sur-Chalaronne;15;51;20
01352;Saint-Étienne-sur-Reyssouze;1;14;4
01353;Sainte-Euphémie;18;73;30
01354;Saint-Genis-Pouilly;68;426;151
01355;Saint-Genis-sur-Menthon;6;12;2
01356;Saint-Georges-sur-Renon;3;8;3
01357;Saint-Germain-de-Joux;1;13;2
01358;Saint-Germain-les-Paroisses;;11;3
01359;Saint-Germain-sur-Renon;1;9;3
01360;Saint-Jean-de-Gonville;8;62;17
01361;Saint-Jean-de-Niost;7;85;33
01362;Saint-Jean-de-Thurigneux;3;39;12
01363;Saint-Jean-le-Vieux;7;81;26
01364;Saint-Jean-sur-Reyssouze;2;25;5
01365;Saint-Jean-sur-Veyle;8;35;9
01366;Sainte-Julie;5;23;9
01367;Saint-Julien-sur-Reyssouze;4;38;6
01368;Saint-Julien-sur-Veyle;3;25;14
01369;Saint-Just;8;49;15
01370;Saint-Laurent-sur-Saône;19;103;36
01371;Saint-Marcel;8;40;16
01372;Saint-Martin-de-Bavel;4;23;9
01373;Saint-Martin-du-Frêne;8;64;24
01374;Saint-Martin-du-Mont;12;77;21
01375;Saint-Martin-le-Châtel;2;23;6
01376;Saint-Maurice-de-Beynost;25;177;63
01378;Saint-Maurice-de-Gourdans;13;101;37
01379;Saint-Maurice-de-Rémens;2;16;7
01380;Saint-Nizier-le-Bouchoux;2;23;7
01381;Saint-Nizier-le-Désert;10;34;16
01382;Sainte-Olive;2;21;8
01383;Saint-Paul-de-Varax;15;55;20
01384;Saint-Rambert-en-Bugey;14;115;32
01385;Saint-Rémy;3;49;18
01386;Saint-Sorlin-en-Bugey;5;50;16
01387;Saint-Sulpice;3;6;3
01388;Saint-Trivier-de-Courtes;9;59;10
01389;Saint-Trivier-sur-Moignans;10;101;33
01390;Saint-Vulbas;12;95;29
01391;Salavre;1;13;1
01392;Samognat;6;25;15
01393;Sandrans;4;27;9
01396;Sault-Brénaz;11;31;9
01397;Sauverny;4;31;12
01398;Savigneux;6;66;21
01399;Ségny;9;55;14
01400;Seillonnaz;;7;3
01401;Sergy;11;39;18
01402;Sermoyer;3;14;4
01403;Serrières-de-Briord;7;59;24
01404;Serrières-sur-Ain;;6;3
01405;Servas;5;43;16
01406;Servignat;1;5;3
01407;Seyssel;8;56;23
01408;Simandre-sur-Suran;5;26;8
01409;Songieu;1;5;1
01410;Sonthonnax-la-Montagne;;12;3
01411;Souclin;1;7;3
01412;Sulignat;6;26;4
01413;Surjoux;;1;0
01414;Sutrieu;3;7;2
01415;Talissieu;3;21;9
01416;Tenay;6;39;12
01417;Thézillieu;1;8;3
01418;Thil;4;44;13
01419;Thoiry;39;179;46
01420;Thoissey;7;94;25
01421;Torcieu;8;23;6
01422;Tossiat;8;70;18
01423;Toussieux;6;40;17
01424;Tramoyes;12;77;25
01425;La Tranclière;;10;3
01426;Treffort-Cuisiat;14;110;39
01427;Trévoux;62;400;120
01428;Valeins;;7;5
01429;Vandeins;2;17;4
01430;Varambon;;20;9
01431;Vaux-en-Bugey;12;50;21
01432;Verjon;2;11;4
01433;Vernoux;1;7;4
01434;Versailleux;4;21;7
01435;Versonnex;8;50;17
01436;Vesancy;;15;5
01437;Vescours;1;4;0
01439;Vésines;1;10;1
01441;Vieu-d'Izenave;5;33;3
01442;Vieu;4;14;5
01443;Villars-les-Dombes;28;249;67
01444;Villebois;9;43;21
01445;Villemotier;2;20;8
01446;Villeneuve;14;77;24
01447;Villereversure;13;51;16
01448;Villes;1;8;4
01449;Villette-sur-Ain;7;44;9
01450;Villieu-Loyes-Mollon;24;165;60
01451;Viriat;35;351;94
01452;Virieu-le-Grand;12;52;18
01453;Virieu-le-Petit;2;18;3
01454;Virignin;9;51;24
01456;Vongnes;;6;2
01457;Vonnas;22;163;41
02001;Abbécourt;1;20;3
02002;Achery;3;14;5
02003;Acy;4;30;10
02004;Agnicourt-et-Séchelles;;1;0
02005;Aguilcourt;1;10;2
02006;Aisonville-et-Bernoville;1;13;2
02007;Aizelles;;3;1
02008;Aizy-Jouy;2;4;1
02009;Alaincourt;3;13;3
02010;Allemant;;4;2
02011;Ambleny;3;41;13
02012;Ambrief;;4;2
02013;Amifontaine;3;19;4
02014;Amigny-Rouy;5;16;4
02015;Ancienville;;4;1
02016;Andelain;2;4;1
02017;Anguilcourt-le-Sart;1;12;5
02018;Anizy-le-Château;15;71;15
02019;Annois;1;11;5
02020;Any-Martin-Rieux;1;14;6
02021;Archon;;3;2
02022;Arcy-Sainte-Restitue;1;10;2
02023;Armentières-sur-Ourcq;1;3;0
02024;Arrancy;;1;0
02025;Artemps;2;8;2
02026;Artonges;1;3;1
02027;Assis-sur-Serre;1;5;2
02028;Athies-sous-Laon;8;77;20
02029;Attilly;1;8;2
02030;Aubencheul-aux-Bois;1;8;4
02031;Aubenton;5;32;9
02032;Aubigny-aux-Kaisnes;2;5;2
02033;Aubigny-en-Laonnois;1;1;1
02034;Audignicourt;;;0
02035;Audigny;1;8;3
02036;Augy;;1;0
02037;Aulnois-sous-Laon;8;27;7
02038;Les Autels;;1;0
02039;Autremencourt;;6;2
02040;Autreppes;;5;2
02041;Autreville;4;27;8
02042;Azy-sur-Marne;5;13;7
02043;Bagneux;;1;0
02044;Bancigny;1;1;0
02046;Barenton-Bugny;;12;2
02047;Barenton-Cel;1;2;1
02048;Barenton-sur-Serre;1;5;1
02049;Barisis;7;21;5
02050;Barzy-en-Thiérache;1;4;1
02051;Barzy-sur-Marne;4;11;3
02052;Bassoles-Aulers;1;2;1
02053;Baulne-en-Brie;1;4;1
02054;Bazoches-sur-Vesles;3;15;7
02055;Beaumé;1;3;1
02056;Beaumont-en-Beine;2;3;1
02057;Beaurevoir;4;41;8
02058;Beaurieux;8;34;10
02059;Beautor;14;54;16
02060;Beauvois-en-Vermandois;1;11;1
02061;Becquigny;2;4;0
02062;Belleau;2;4;1
02063;Bellenglise;3;8;2
02064;Belleu;16;79;23
02065;Bellicourt;2;18;8
02066;Benay;;7;0
02067;Bergues-sur-Sambre;;5;1
02068;Berlancourt;;5;1
02069;Berlise;;2;1
02070;Bernot;;10;3
02071;Berny-Rivière;3;36;8
02072;Berrieux;1;6;2
02073;Berry-au-Bac;2;12;7
02074;Bertaucourt-Epourdon;5;15;6
02075;Berthenicourt;3;6;2
02076;Bertricourt;2;10;6
02077;Berzy-le-Sec;4;9;2
02078;Besmé;1;3;1
02079;Besmont;;3;1
02080;Besny-et-Loizy;3;10;3
02081;Béthancourt-en-Vaux;3;6;2
02082;Beugneux;;3;0
02083;Beuvardes;4;22;5
02084;Bézu-le-Guéry;2;10;3
02085;Bézu-Saint-Germain;8;31;6
02086;Bichancourt;5;22;8
02087;Bieuxy;;;0
02088;Bièvres;1;1;0
02089;Billy-sur-Aisne;6;43;9
02090;Billy-sur-Ourcq;2;9;2
02091;Blanzy-lès-Fismes;;4;2
02093;Blérancourt;8;46;5
02094;Blesmes;4;23;7
02095;Bohain-en-Vermandois;19;184;40
02096;Bois-lès-Pargny;;5;2
02097;Boncourt;3;10;4
02098;Bonneil;3;12;4
02099;Bonnesvalyn;1;13;5
02100;Bony;;3;1
02101;Bosmont-sur-Serre;2;5;3
02102;Bouconville-Vauclair;4;12;2
02103;Boué;6;42;11
02104;Bouffignereux;;3;0
02105;Bouresches;2;7;3
02106;Bourg-et-Comin;8;37;9
02107;Bourguignon-sous-Coucy;1;3;2
02108;Bourguignon-sous-Montbavin;1;2;0
02109;La Bouteille;4;13;3
02110;Braine;9;109;27
02111;Brancourt-en-Laonnois;3;17;7
02112;Brancourt-le-Grand;1;16;5
02114;Brasles;4;61;24
02115;Braye-en-Laonnois;1;2;0
02116;Braye-en-Thiérache;2;3;0
02117;Bray-Saint-Christophe;1;1;0
02118;Braye;;3;1
02119;Brécy;1;14;7
02120;Brenelle;3;11;6
02121;Breny;2;7;3
02122;Brie;;3;1
02123;Brissay-Choigny;1;13;2
02124;Brissy-Hamégicourt;5;16;3
02125;Brumetz;;6;1
02126;Brunehamel;1;30;5
02127;Bruyères-sur-Fère;1;4;1
02128;Bruyères-et-Montbérault;8;71;11
02129;Bruys;;1;0
02130;Bucilly;1;3;0
02131;Bucy-le-Long;11;74;19
02132;Bucy-lès-Cerny;3;2;0
02133;Bucy-lès-Pierrepont;3;11;5
02134;Buire;4;25;5
02135;Buironfosse;5;26;5
02136;Burelles;;5;2
02137;Bussiares;1;2;0
02138;Buzancy;3;6;2
02139;Caillouël-Crépigny;2;10;2
02140;Camelin;2;8;3
02141;La Capelle;4;84;12
02142;Castres;;7;2
02143;Le Catelet;;11;2
02144;Caulaincourt;1;1;1
02145;Caumont;1;14;5
02146;Celles-lès-Condé;;6;2
02147;La Celle-sous-Montmirail;;1;0
02148;Celles-sur-Aisne;;7;3
02149;Cerizy;;1;0
02150;Cerny-en-Laonnois;;1;0
02151;Cerny-lès-Bucy;;8;5
02152;Cerseuil;;2;0
02153;Cessières;3;12;3
02154;Chacrise;2;5;1
02155;Chaillevois;1;6;2
02156;Chalandry;1;4;0
02157;Chambry;10;51;11
02158;Chamouille;1;11;5
02159;Champs;5;6;1
02160;Chaourse;2;14;2
02161;La Chapelle-Monthodon;2;4;1
02162;La Chapelle-sur-Chézy;2;10;2
02163;Charly-sur-Marne;16;122;27
02164;Le Charmel;2;12;8
02165;Charmes;11;34;12
02166;Chartèves;3;7;3
02167;Chassemy;2;16;3
02168;Château-Thierry;86;723;178
02169;Châtillon-lès-Sons;1;2;1
02170;Châtillon-sur-Oise;;2;1
02171;Chaudardes;1;2;2
02172;Chaudun;2;3;0
02173;Chauny;59;528;130
02174;Chavignon;7;23;9
02175;Chavigny;;;0
02176;Chavonne;;4;1
02177;Chérêt;1;5;3
02178;Chermizy-Ailles;1;1;0
02179;Chéry-Chartreuve;2;14;6
02180;Chéry-lès-Pouilly;1;6;0
02181;Chéry-lès-Rozoy;;2;2
02182;Chevennes;;;0
02183;Chevregny;2;6;3
02184;Chevresis-Monceau;2;6;2
02185;Chézy-en-Orxois;1;14;7
02186;Chézy-sur-Marne;8;54;17
02187;Chierry;2;20;7
02188;Chigny;;2;0
02189;Chivres-en-Laonnois;3;13;4
02190;Chivres-Val;2;18;9
02191;Chivy-lès-Étouvelles;1;28;6
02192;Chouy;1;11;7
02193;Cierges;;4;1
02194;Cilly;1;4;1
02195;Ciry-Salsogne;5;34;9
02196;Clacy-et-Thierret;1;12;6
02197;Clairfontaine;1;9;1
02198;Clamecy;;6;0
02199;Clastres;1;10;4
02200;Clermont-les-Fermes;1;8;2
02201;Coeuvres-et-Valsery;1;13;4
02203;Coincy;5;58;28
02204;Coingt;1;1;1
02205;Colligis-Crandelain;1;1;1
02206;Colonfay;;3;1
02207;Commenchon;;2;2
02208;Concevreux;1;5;1
02209;Condé-en-Brie;8;32;9
02210;Condé-sur-Aisne;2;7;2
02211;Condé-sur-Suippe;1;10;4
02212;Condren;6;30;10
02213;Connigis;4;7;3
02214;Contescourt;;;0
02215;Corbeny;3;23;4
02216;Corcy;1;7;2
02217;Coucy-le-Château-Auffrique;4;44;8
02218;Coucy-lès-Eppes;1;21;2
02219;Coucy-la-Ville;2;2;2
02220;Coulonges-Cohan;4;17;6
02221;Coupru;1;2;1
02222;Courbes;;3;0
02223;Courboin;1;8;3
02224;Courcelles-sur-Vesle;1;8;4
02225;Courchamps;;4;1
02226;Courmelles;7;39;10
02227;Courmont;;3;1
02228;Courtemont-Varennes;;8;3
02229;Courtrizy-et-Fussigny;;3;1
02230;Couvrelles;;9;2
02231;Couvron-et-Aumencourt;5;16;4
02232;Coyolles;2;8;2
02233;Cramaille;;7;2
02234;Craonne;;3;0
02235;Craonnelle;;3;1
02236;Crécy-au-Mont;1;12;5
02237;Crécy-sur-Serre;7;59;8
02238;Crépy;17;51;12
02239;Crézancy;4;31;8
02240;Croix-Fonsomme;1;4;0
02241;La Croix-sur-Ourcq;1;4;1
02242;Crouttes-sur-Marne;3;14;5
02243;Crouy;17;121;31
02244;Crupilly;1;5;2
02245;Cuffies;7;47;14
02246;Cugny;1;11;5
02248;Cuirieux;;2;2
02249;Cuiry-Housse;2;7;0
02250;Cuiry-lès-Chaudardes;;2;1
02251;Cuiry-lès-Iviers;;2;0
02252;Cuissy-et-Geny;;1;0
02253;Cuisy-en-Almont;;5;2
02254;Cutry;2;2;1
02255;Cys-la-Commune;1;3;1
02256;Dagny-Lambercy;;5;1
02257;Dallon;6;21;7
02258;Dammard;2;14;3
02259;Dampleux;3;8;2
02260;Danizy;1;15;5
02261;Dercy;2;7;2
02262;Deuillet;3;10;2
02263;Dhuizel;;2;0
02264;Dizy-le-Gros;5;26;8
02265;Dohis;1;1;1
02266;Dolignon;;1;0
02267;Dommiers;2;11;5
02268;Domptin;2;23;6
02269;Dorengt;;;0
02270;Douchy;1;4;0
02271;Dravegny;2;1;1
02272;Droizy;2;4;2
02273;Dury;;4;2
02274;Ébouleau;1;10;6
02275;Effry;2;8;4
02276;Englancourt;1;3;2
02277;Épagny;1;8;6
02278;Éparcy;;3;0
02279;Épaux-Bézu;5;25;8
02280;Épieds;2;16;6
02281;L'Épine-aux-Bois;;13;5
02282;Eppes;2;8;2
02283;Erlon;2;6;0
02284;Erloy;;1;0
02286;Esquéhéries;2;16;5
02287;Essigny-le-Grand;3;33;6
02288;Essigny-le-Petit;1;8;3
02289;Essises;4;8;3
02290;Essômes-sur-Marne;14;70;23
02291;Estrées;;7;3
02292;Étampes-sur-Marne;7;42;10
02293;Étaves-et-Bocquiaux;1;7;1
02294;Étouvelles;;10;1
02295;Étréaupont;4;32;5
02296;Étreillers;4;37;8
02297;Étrépilly;3;4;2
02298;Étreux;3;41;10
02299;Évergnicourt;;3;2
02301;Faucoucourt;1;9;3
02302;Faverolles;2;11;3
02303;Fayet;3;39;9
02304;La Fère;9;144;33
02305;Fère-en-Tardenois;16;155;34
02306;La Ferté-Chevresis;3;14;3
02307;La Ferté-Milon;13;94;24
02308;Fesmy-le-Sart;1;13;6
02309;Festieux;4;21;10
02310;Fieulaine;2;10;3
02311;Filain;;2;0
02312;La Flamengrie;2;33;8
02313;Flavigny-le-Grand-et-Beaurain;2;7;2
02315;Flavy-le-Martel;4;47;13
02316;Fleury;1;7;0
02317;Fluquières;1;3;0
02318;Folembray;7;37;6
02319;Fonsomme;4;12;3
02320;Fontaine-lès-Clercs;2;5;3
02321;Fontaine-lès-Vervins;3;32;6
02322;Fontaine-Notre-Dame;;7;2
02323;Fontaine-Uterte;;;0
02324;Fontenelle;1;7;1
02325;Fontenelle-en-Brie;1;11;2
02326;Fontenoy;3;21;6
02327;Foreste;;3;1
02328;Fossoy;6;20;6
02329;Fourdrain;1;17;7
02330;Francilly-Selency;3;13;3
02331;Franqueville;;2;1
02332;Fresnes-en-Tardenois;3;8;2
02333;Fresnes;;6;3
02334;Fresnoy-le-Grand;8;92;21
02335;Fressancourt;;4;1
02336;Frières-Faillouël;2;14;5
02337;Froidestrées;;4;0
02338;Froidmont-Cohartille;1;11;4
02339;Gandelu;2;9;2
02340;Gauchy;24;144;38
02341;Gercy;;5;3
02342;Gergny;1;3;1
02343;Germaine;;3;1
02344;Gernicourt;1;4;2
02345;Gibercourt;;;0
02346;Gizy;2;25;11
02347;Gland;4;17;8
02348;Glennes;1;3;1
02349;Goudelancourt-lès-Berrieux;;2;0
02350;Goudelancourt-lès-Pierrepont;;2;1
02351;Goussancourt;1;4;1
02352;Gouy;4;22;9
02353;Grandlup-et-Fay;2;7;1
02354;Grandrieux;;2;0
02355;Gricourt;10;21;8
02356;Grisolles;2;6;2
02357;Gronard;;2;0
02358;Grougis;;9;3
02359;Grugies;2;20;7
02360;Guignicourt;12;95;23
02361;Guise;25;200;43
02362;Guivry;2;7;4
02363;Guny;4;15;4
02364;Guyencourt;2;8;3
02366;Hannapes;;3;1
02367;Happencourt;;1;0
02368;Haramont;1;16;5
02369;Harcigny;;4;0
02370;Hargicourt;1;13;4
02371;Harly;8;36;10
02372;Hartennes-et-Taux;;22;5
02373;Hary;1;9;1
02374;Lehaucourt;3;20;5
02375;Hautevesnes;;5;0
02376;Hauteville;1;1;0
02377;Haution;;2;0
02378;La Hérie;2;5;1
02379;Le Hérie-la-Viéville;;3;1
02380;Hinacourt;1;1;0
02381;Hirson;36;291;56
02382;Holnon;8;38;8
02383;Homblières;7;50;21
02384;Houry;;3;3
02385;Housset;;2;0
02386;Iron;1;3;2
02387;Itancourt;4;26;9
02388;Iviers;;8;0
02389;Jaulgonne;4;36;10
02390;Jeancourt;1;3;1
02391;Jeantes;;1;0
02392;Joncourt;3;8;2
02393;Jouaignes;;3;1
02395;Jumencourt;;1;0
02396;Jumigny;;2;2
02397;Jussy;6;38;5
02398;Juvigny;2;2;0
02399;Juvincourt-et-Damary;1;13;3
02400;Laffaux;;2;0
02401;Laigny;;10;2
02402;Lanchy;;2;0
02403;Landifay-et-Bertaignemont;1;5;1
02404;Landouzy-la-Cour;;4;2
02405;Landouzy-la-Ville;1;14;8
02406;Landricourt;2;7;2
02407;Laniscourt;;5;1
02408;Laon;158;1009;248
02409;Lappion;2;7;1
02410;Largny-sur-Automne;2;5;1
02411;Latilly;2;7;0
02412;Launoy;;4;0
02413;Laval-en-Laonnois;1;7;2
02414;Lavaqueresse;1;1;0
02415;Laversine;;4;1
02416;Lemé;1;9;3
